61, 70, 47, Blue
65, 25, 36, Red
69, 18, 58, Red
36, 100, 25, Blue
31, 51, 61, Blue
29, 81, 70, Blue
100, 17, 41, Red
15, 100, 56, Blue
44, 84, 45, Blue
79, 31, 17, Red
26, 27, 55, Blue
22, 95, 40, Blue
11, 51, 35, Red
18, 35, 66, Red
43, 49, 88, Blue
37, 100, 86, Blue
100, 35, 59, Red
58, 48, 95, Blue
93, 50, 23, Red
57, 86, 82, Blue
49, 92, 33, Blue
97, 34, 3, Red
36, 36, 70, Blue
60, 79, 74, Blue
35, 55, 92, Blue
98, 15, 39, Red
40, 55, 37, Blue
48, 100, 72, Blue
33, 55, 44, Blue
52, 75, 42, Blue
21, 68, 69, Blue
36, 71, 41, Blue
37, 100, 51, Blue
20, 91, 78, Blue
68, 52, 0, Red
80, 36, 30, Red
46, 99, 93, Blue
40, 70, 94, Blue
3, 29, 59, Blue
61, 88, 65, Blue
10, 71, 65, Blue
30, 91, 41, Blue
22, 73, 59, Blue
16, 99, 67, Blue
87, 10, 30, Red
17, 70, 55, Blue
65, 44, 17, Red
57, 100, 66, Blue
94, 78, 69, Red
32, 100, 61, Blue
23, 45, 100, Blue
64, 12, 41, Red
50, 78, 22, Blue
34, 52, 69, Blue
23, 100, 74, Blue
57, 3, 32, Red
31, 52, 37, Blue
48, 77, 55, Blue
42, 100, 56, Blue
29, 100, 62, Blue
100, 13, 39, Red
43, 42, 4, Red
64, 34, 70, Red
22, 79, 60, Blue
82, 33, 44, Red
61, 100, 14, Blue
10, 85, 60, Blue
23, 63, 16, Blue
35, 0, 25, Red
79, 61, 44, Red
57, 100, 34, Blue
51, 73, 81, Blue
12, 16, 51, Red
100, 27, 9, Red
61, 60, 0, Red
41, 87, 45, Blue
96, 50, 74, Red
46, 100, 76, Blue
39, 84, 78, Blue
31, 100, 65, Blue
0, 35, 88, Blue
50, 70, 80, Blue
63, 30, 87, Blue
48, 92, 51, Blue
58, 100, 32, Blue
60, 100, 33, Blue
23, 91, 100, Blue
36, 100, 34, Blue
46, 60, 22, Blue
26, 60, 38, Blue
39, 94, 59, Blue
33, 50, 8, Red
31, 74, 55, Blue
31, 74, 35, Red
39, 57, 52, Blue
55, 61, 16, Red
31, 87, 67, Blue
44, 92, 61, Blue
52, 90, 33, Blue
52, 72, 42, Blue
34, 79, 37, Blue
26, 80, 73, Blue
17, 85, 49, Blue
30, 42, 46, Blue
77, 48, 42, Red
49, 66, 49, Blue
28, 23, 31, Red
38, 100, 50, Blue
61, 95, 85, Blue
43, 100, 51, Blue
84, 42, 4, Red
27, 65, 44, Blue
10, 100, 81, Blue
64, 88, 71, Blue
8, 81, 52, Blue
32, 42, 41, Red
47, 20, 35, Blue
61, 57, 24, Blue
48, 38, 95, Blue
31, 100, 41, Blue
33, 82, 68, Blue
100, 27, 42, Red
39, 95, 98, Blue
23, 83, 46, Blue
35, 68, 57, Blue
93, 22, 0, Red
79, 38, 91, Red
37, 100, 48, Blue
19, 45, 67, Blue
35, 60, 66, Blue
36, 92, 50, Blue
33, 34, 0, Red
0, 100, 33, Blue
31, 41, 35, Blue
100, 52, 81, Red
20, 100, 45, Blue
67, 68, 56, Blue
36, 52, 55, Blue
13, 100, 45, Blue
34, 82, 88, Blue
53, 8, 18, Red
45, 59, 93, Blue
